Velocity_mm_s,Force_N
-800,-1808.64
-790,-1802.85
-780,-1797.07
-770,-1791.28
-760,-1785.50
-750,-1779.81
-740,-1775.89
-730,-1772.06
-720,-1768.24
-710,-1764.41
-700,-1760.49
-690,-1754.70
-680,-1749.02
-670,-1743.23
-660,-1737.44
-650,-1731.66
-640,-1722.05
-630,-1712.44
-620,-1702.83
-610,-1693.22
-600,-1683.61
-590,-1673.90
-580,-1664.29
-570,-1654.68
-560,-1645.07
-550,-1635.46
-540,-1616.23
-530,-1597.01
-520,-1577.69
-510,-1558.47
-500,-1539.25
-490,-1510.42
-480,-1481.49
-470,-1452.66
-460,-1423.83
-450,-1395.00
-440,-1366.07
-430,-1337.23
-420,-1308.40
-410,-1279.47
-400,-1250.64
-390,-1221.81
-380,-1192.88
-370,-1164.05
-360,-1135.22
-350,-1106.39
-340,-1077.46
-330,-1048.63
-320,-1019.79
-310,-990.86
-300,-962.03
-290,-933.20
-280,-904.27
-270,-875.44
-260,-846.61
-250,-817.78
-240,-788.85
-230,-760.02
-220,-731.18
-210,-702.25
-200,-673.42
-190,-644.59
-180,-615.66
-170,-586.83
-160,-558.00
-150,-529.17
-140,-500.24
-130,-471.41
-120,-442.57
-110,-413.64
-100,-384.81
-90,-355.98
-80,-327.05
-70,-298.22
-60,-269.39
-50,-240.56
-40,-192.41
-30,-144.26
-20,-96.20
-10,-48.15
0,0.00
10,25.01
20,50.01
30,75.02
40,100.03
50,125.03
60,134.65
70,144.26
80,153.96
90,163.57
100,173.19
110,178.97
120,184.76
130,190.45
140,196.23
150,202.02
160,205.84
170,209.76
180,213.59
190,217.41
200,221.24
210,225.16
220,228.99
230,232.81
240,236.63
250,240.56
260,242.42
270,244.38
280,246.24
290,248.21
300,250.17
310,252.03
320,253.99
330,255.86
340,257.82
350,259.78
360,261.64
370,263.60
380,265.56
390,267.43
400,269.39
410,271.25
420,273.21
430,275.17
440,277.04
450,279.00
460,280.96
470,282.82
480,284.79
490,286.65
500,288.61
510,290.57
520,292.43
530,294.40
540,296.26
550,298.22
560,300.18
570,302.04
580,304.01
590,305.97
600,307.83
610,309.79
620,311.66
630,313.62
640,315.58
650,317.44
660,319.40
670,321.36
680,323.23
690,325.19
700,327.05
710,329.01
720,330.97
730,332.84
740,334.80
750,336.76
760,338.62
770,340.58
780,342.45
790,344.41
800,346.37
