Velocity_mm_s,Force_N
-2000,-343.35
-1900,-336.68
-1800,-328.33
-1700,-317.36
-1600,-304.11
-1500,-288.98
-1400,-271.97
-1300,-253.15
-1200,-232.52
-1100,-210.08
-1000,-186.39
-900,-161.87
-800,-136.54
-700,-110.40
-600,-83.45
-500,-55.72
-400,-37.28
-300,-19.62
-200,-9.81
-100,-4.91
0,0.00
100,2.94
200,5.89
300,8.83
400,11.77
500,13.73
600,15.70
700,17.66
800,19.62
900,21.58
1000,23.54
1100,25.51
1200,27.47
1300,29.43
1400,31.39
1500,33.35
1600,35.30
1700,37.26
1800,39.22
1900,41.18
2000,43.14
