Velocity_mm_s,Force_N
-2000,-313.92
-1900,-307.25
-1800,-299.81
-1700,-290.48
-1600,-279.51
-1500,-266.27
-1400,-250.97
-1300,-233.80
-1200,-214.76
-1100,-193.85
-1000,-171.68
-900,-148.13
-800,-123.61
-700,-98.10
-600,-71.60
-500,-53.96
-400,-36.30
-300,-18.64
-200,-9.81
-100,-4.91
0,0.00
100,2.94
200,5.89
300,8.83
400,11.77
500,14.71
600,16.68
700,18.64
800,20.60
900,22.56
1000,24.53
1100,26.49
1200,28.45
1300,30.41
1400,32.37
1500,34.33
1600,36.29
1700,38.25
1800,40.21
1900,42.17
2000,44.14
