Velocity_mm_s,Force_N
-2000,-323.73
-1900,-317.06
-1800,-309.62
-1700,-300.29
-1600,-289.32
-1500,-276.08
-1400,-260.78
-1300,-243.61
-1200,-224.57
-1100,-203.66
-1000,-180.70
-900,-156.96
-800,-132.44
-700,-107.02
-600,-80.51
-500,-53.00
-400,-34.34
-300,-17.66
-200,-9.81
-100,-4.91
0,0.00
100,3.43
200,6.87
300,9.81
400,12.75
500,15.21
600,17.17
700,19.13
800,21.09
900,23.05
1000,25.02
1100,26.98
1200,28.94
1300,30.90
1400,32.86
1500,34.82
1600,36.78
1700,38.74
1800,40.70
1900,42.66
2000,44.63
